"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 24 16:12:47 GMT 2023","Fri Feb 24 16:13:31 GMT 2023","43670","Add User","1.3 --- with Custom Forms","","","","1.3.1 --- with required Custom Form filled out, all required fields on Form",""
"failed","Fri Feb 24 15:54:40 GMT 2023","Fri Feb 24 15:55:21 GMT 2023","41096","Add Case","2. --- with Case Number formatting in Org, AutoDispo OFF ","","","","2.2 verify Org Case Number Format with custom validation message",""
"passed","Fri Feb 24 16:20:24 GMT 2023","Fri Feb 24 16:20:34 GMT 2023","10083","","Edit Case","","","","6. Auto-Assigned Case Number -- Case Number can be edited when Auto-assigning of Case Numbers is enabled for new cases",""
"passed","Fri Feb 24 16:18:23 GMT 2023","Fri Feb 24 16:18:59 GMT 2023","35625","","Edit Case","","","","1. Edit and verify all values on Case View page -- replace the current values in multiselect fields (Case Officers, Tags)",""
"passed","Fri Feb 24 16:08:13 GMT 2023","Fri Feb 24 16:08:28 GMT 2023","15271","Add Task","1.1 Org Admin","","","","A.T_1.3. Add task assigned to 1 User Group and check email notification with less Task details",""
"passed","Fri Feb 24 16:22:09 GMT 2023","Fri Feb 24 16:22:52 GMT 2023","42538","","Edit Item","","","","2. Edit and verify all values on Item View page -- keep the previous values in multiselect fields  - Tags & Item Belongs To; 2.1. hitting *enter* button does not wipe out Additional Barcode",""
"passed","Fri Feb 24 16:03:52 GMT 2023","Fri Feb 24 16:04:05 GMT 2023","12380","Add Item","3 Add Item with Custom Form","","","","3.3 --- with required Currency Form attached - System Template",""
"passed","Fri Feb 24 15:56:47 GMT 2023","Fri Feb 24 15:57:15 GMT 2023","28107","Add Case","5. --- with Default Case Number in Office ","","","","5.1 verify Office Default Case Number Prefix",""
"failed","Fri Feb 24 16:13:31 GMT 2023","Fri Feb 24 16:15:53 GMT 2023","141726","Add User","1.3 --- with Custom Forms","","","","1.3.2 --- with required Custom Form but not filled out, all optional fields on Form",""
"passed","Fri Feb 24 16:19:00 GMT 2023","Fri Feb 24 16:19:33 GMT 2023","32945","","Edit Case","","","","2. Edit and verify all values on Case View page -- keep the previous values and add new ones in multiselect fields (Case Officers, Tags)",""
"passed","Fri Feb 24 16:05:59 GMT 2023","Fri Feb 24 16:06:20 GMT 2023","20729","Add Person","1. Org Admin","","","","1.1. All fields enabled -- redirect to View Added Person",""
"failed","Fri Feb 24 16:24:20 GMT 2023","Fri Feb 24 16:24:50 GMT 2023","30063","","Edit Person","","","","1. Edit and verify all values on Person View page",""
"passed","Fri Feb 24 15:56:01 GMT 2023","Fri Feb 24 15:56:20 GMT 2023","18729","Add Case","4. --- with Default Case Number in Org ","","","","4.1 verify Org Default Case Number Prefix, clear a default value and save the other one",""
"failed","Fri Feb 24 16:18:13 GMT 2023","Fri Feb 24 16:18:13 GMT 2023","229","","Chain of Custody","","","","CoC_1. Check Out",""
"passed","Fri Feb 24 16:01:47 GMT 2023","Fri Feb 24 16:02:02 GMT 2023","15410","Add Item","1. Org Admin","","","","1.7. Add Item from Person View/ ""Items Belonging to"" tab -- redirect to Add Duplicate Item page and complete the action",""
"passed","Fri Feb 24 15:58:38 GMT 2023","Fri Feb 24 15:59:07 GMT 2023","28510","Add Case","9. --- with multiple users/groups in Case Officers field","","","","9.1 verify multiple Users and Groups can be saved in Case Officers field and Custom User/User Group",""
"passed","Fri Feb 24 16:23:42 GMT 2023","Fri Feb 24 16:23:59 GMT 2023","16925","","Edit Item","","","","4. Edit and verify reduced number of values on Item View page ",""
"passed","Fri Feb 24 16:20:35 GMT 2023","Fri Feb 24 16:21:01 GMT 2023","26303","","Edit Case","","","","7. Remove all optional values & check history records",""
"passed","Fri Feb 24 16:07:32 GMT 2023","Fri Feb 24 16:07:39 GMT 2023","7535","Add Person","3. Add Person with Custom Form","","","","3.2. --- with required Custom Form but not filled out, all optional fields on Form",""
"passed","Fri Feb 24 16:01:31 GMT 2023","Fri Feb 24 16:01:46 GMT 2023","15751","Add Item","1. Org Admin","","","","1.6. Add Item from Person View/ Items Recovered By -- redirect to Item View/ Notes tab",""
"passed","Fri Feb 24 15:57:17 GMT 2023","Fri Feb 24 15:57:30 GMT 2023","12840","Add Case","6. --- with Auto Assigned Case Number ","","","","6.1 verify Auto Assigned Case Number with Default Case Number Prefix",""
"passed","Fri Feb 24 16:06:42 GMT 2023","Fri Feb 24 16:07:06 GMT 2023","24173","Add Person","2. Power User -- all permissions in Office","","","","2.1. verify that user can add all values",""
"skipped","Fri Feb 24 16:16:31 GMT 2023","Fri Feb 24 16:16:31 GMT 2023","2","","Auto-Disposition","","","","3.4 Verify ""View X Cases"" functionality",""
"passed","Fri Feb 24 16:24:00 GMT 2023","Fri Feb 24 16:24:08 GMT 2023","8439","","Edit Item","","","","5. Add an Item with disabled non required / required fields & check if those are shown up on Item Edit page after enabling",""
"failed","Fri Feb 24 16:11:17 GMT 2023","Fri Feb 24 16:11:52 GMT 2023","34562","Add User","1.1 Org Admin","","","","1.1.4 validation message for inactive user account",""
"passed","Fri Feb 24 16:00:02 GMT 2023","Fri Feb 24 16:00:33 GMT 2023","31562","Add Item","1. Org Admin","","","","1.2. Optional fields disabled -- redirect to View Added Item -- Item Belongs To Shows All People"" turned OFF in Org Settings -- multiple values selected for ""Item Belongs to"" and Tags",""
"passed","Fri Feb 24 15:58:17 GMT 2023","Fri Feb 24 15:58:35 GMT 2023","18534","Add Case","8. --- with required Custom Form but not filled out, all optional fields on Form","","","","8.1 verify that required custom form is attached to the case with blank fields",""
"passed","Fri Feb 24 15:55:53 GMT 2023","Fri Feb 24 15:55:59 GMT 2023","6223","Add Case","3. --- with Case Number formatting in Office ","","","","3.2 verify Office Case Number Format with custom validation message",""
"passed","Fri Feb 24 15:52:45 GMT 2023","Fri Feb 24 15:53:02 GMT 2023","16393","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.4 Org Admin-- minimum case fields -- redirect to Add Person page",""
"passed","Fri Feb 24 16:21:03 GMT 2023","Fri Feb 24 16:21:12 GMT 2023","9397","","Edit Case","","","","8. Add a Case with disabled fields & check if required fields are displayed properly on Case Edit page after enabling",""
"passed","Fri Feb 24 16:02:41 GMT 2023","Fri Feb 24 16:03:06 GMT 2023","25613","Add Item","2 Power User -- all permissions in Office, with and without access to Storage Location","","","","2.1 verify that user can add all values but can select only Storage Location(s) that s/he has access to",""
"skipped","Fri Feb 24 16:16:31 GMT 2023","Fri Feb 24 16:16:31 GMT 2023","2","","Auto-Disposition","","","","3.3 Verify ""Recalculate Cases to Dispose"" functionality",""
"passed","Fri Feb 24 16:00:53 GMT 2023","Fri Feb 24 16:01:13 GMT 2023","19694","Add Item","1. Org Admin","","","","1.4. Add item from Item Search -- redirect to Case View /Items tab",""
"passed","Fri Feb 24 16:16:07 GMT 2023","Fri Feb 24 16:16:19 GMT 2023","12668","","Auto-Disposition","","","","1 Verify auto-dispo can be enabled and disabled in Org Settings",""
"passed","Fri Feb 24 16:09:26 GMT 2023","Fri Feb 24 16:11:00 GMT 2023","93261","Add User","1.1 Org Admin","","","","1.1.2. add user with required fields only",""
"passed","Fri Feb 24 15:51:38 GMT 2023","Fri Feb 24 15:52:08 GMT 2023","30075","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.1 Org Admin-- All fields enabled -- redirect to View Added Case",""
"passed","Fri Feb 24 16:05:33 GMT 2023","Fri Feb 24 16:05:42 GMT 2023","8825","","Add Notes - Org1","","","","A.N_3. Add Note to Person",""
"passed","Fri Feb 24 16:07:55 GMT 2023","Fri Feb 24 16:08:03 GMT 2023","7997","Add Task","1.1 Org Admin","","","","1.1.1 Add task with required fields only -- keep it Unassigned",""
"passed","Fri Feb 24 16:08:03 GMT 2023","Fri Feb 24 16:08:13 GMT 2023","9221","Add Task","1.1 Org Admin","","","","1.1.2. Add task assigned to 1 User and check email notification with more Task details",""
"passed","Fri Feb 24 15:56:35 GMT 2023","Fri Feb 24 15:56:44 GMT 2023","8960","Add Case","4. --- with Default Case Number in Org ","","","","4.3 verify Org Default Case Number Prefix and Org Formatting pattern, before and after page reload",""
"passed","Fri Feb 24 16:24:50 GMT 2023","Fri Feb 24 16:25:06 GMT 2023","15609","","Edit Person","","","","2. Edit and verify reduced number of values on Person View page - First & Last Name",""
"passed","Fri Feb 24 15:53:20 GMT 2023","Fri Feb 24 15:53:36 GMT 2023","15425","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.6 Org Admin-- minimum case fields -- redirect to Notes tab on Case View page",""
"passed","Fri Feb 24 16:06:28 GMT 2023","Fri Feb 24 16:06:35 GMT 2023","6994","Add Person","1. Org Admin","","","","1.3. Business Name populated only -- redirect to Add Item page",""
"passed","Fri Feb 24 15:53:36 GMT 2023","Fri Feb 24 15:54:23 GMT 2023","47008","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.7 Power User can add case and view/enter/update Review Date/Notes when having AutoDispo permissions",""
"skipped","Fri Feb 24 16:17:54 GMT 2023","Fri Feb 24 16:17:54 GMT 2023","2","Auto-Disposition","3. Verify ""Re-Distribute Case Review Dates"" functionality","","","","A.D.4.2 Verify ""Re-Distribute"" for ""Upcoming"" cases",""
"skipped","Fri Feb 24 16:11:52 GMT 2023","Fri Feb 24 16:11:52 GMT 2023","2","Add User","1.1 Org Admin","","","","A.U_3. Add External User",""
"passed","Fri Feb 24 16:00:33 GMT 2023","Fri Feb 24 16:00:53 GMT 2023","19326","Add Item","1. Org Admin","","","","1.3. Add Item from Case View /Items tab -- redirect to Add Item page again",""
"passed","Fri Feb 24 16:11:00 GMT 2023","Fri Feb 24 16:11:17 GMT 2023","17225","Add User","1.1 Org Admin","","","","1.1.3 validation message for missing permissions",""
"passed","Fri Feb 24 16:25:25 GMT 2023","Fri Feb 24 16:25:31 GMT 2023","5928","","Edit Person","","","","4. Add a Person with disabled fields & check if those are shown up on Person Edit page after enabling all of the rest of the fields and editing Business Name / First Name / Last Name",""
"failed","Fri Feb 24 16:16:33 GMT 2023","Fri Feb 24 16:17:54 GMT 2023","81389","Auto-Disposition","3. Verify ""Re-Distribute Case Review Dates"" functionality","","","","3.1 Verify ""Re-Distribute"" for ""Past Due"" cases",""
"passed","Fri Feb 24 16:11:52 GMT 2023","Fri Feb 24 16:12:47 GMT 2023","55175","Add User","1.2 Power User -- all permissions in Office","","","","1.2.1. Office Admin can create a new user account",""
"passed","Fri Feb 24 15:54:25 GMT 2023","Fri Feb 24 15:54:40 GMT 2023","14946","Add Case","2. --- with Case Number formatting in Org, AutoDispo OFF ","","","","2.1 verify Org Case Number Format and check that Case Review Date/Notes is NOT displayed for Org Admin",""
"passed","Fri Feb 24 16:22:52 GMT 2023","Fri Feb 24 16:23:42 GMT 2023","49594","","Edit Item","","","","3. Remove all optional values & check history records",""
"passed","Fri Feb 24 16:21:25 GMT 2023","Fri Feb 24 16:22:08 GMT 2023","43181","","Edit Item","","","","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To",""
"passed","Fri Feb 24 16:06:20 GMT 2023","Fri Feb 24 16:06:28 GMT 2023","8247","Add Person","1. Org Admin","","","","1.2. Optional fields disabled -- First & Last Name populated -- redirect to Add Person page again",""
"passed","Fri Feb 24 15:59:29 GMT 2023","Fri Feb 24 16:00:02 GMT 2023","32349","Add Item","1. Org Admin","","","","1.1 All fields enabled -- ""Item Belongs To Shows All People"" turned ON in Org Settings -- multiple people not linked to Primary Case are selected in ""Item Belongs to"" field ",""
"passed","Fri Feb 24 16:07:06 GMT 2023","Fri Feb 24 16:07:31 GMT 2023","25489","Add Person","3. Add Person with Custom Form","","","","3.1. --- with required Custom Form filled out, all required fields on Form",""
"passed","Fri Feb 24 16:04:23 GMT 2023","Fri Feb 24 16:04:40 GMT 2023","17030","Add Item","3 Add Item with Custom Form","","","","3.5 --- Splitting item with Currency Form attached",""
"passed","Fri Feb 24 16:05:25 GMT 2023","Fri Feb 24 16:05:33 GMT 2023","7905","","Add Notes - Org1","","","","A.N_2. Add Note to Item",""
"passed","Fri Feb 24 16:25:06 GMT 2023","Fri Feb 24 16:25:24 GMT 2023","18194","","Edit Person","","","","3. Edit and verify reduced number of values on Person View page - Business Name",""
"passed","Fri Feb 24 16:03:38 GMT 2023","Fri Feb 24 16:03:52 GMT 2023","13971","Add Item","3 Add Item with Custom Form","","","","3.2 --- with required Custom Form but not filled out, all optional fields on Form",""
"passed","Fri Feb 24 16:18:10 GMT 2023","Fri Feb 24 16:18:13 GMT 2023","2437","","Chain of Custody","","","","CoC_1. New Item Entry",""
"passed","Fri Feb 24 15:56:20 GMT 2023","Fri Feb 24 15:56:35 GMT 2023","14625","Add Case","4. --- with Default Case Number in Org ","","","","4.2 verify Org Default Case Number Prefix, keep a default value as part of the Case Number",""
"passed","Fri Feb 24 15:52:08 GMT 2023","Fri Feb 24 15:52:25 GMT 2023","17245","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.2 Org Admin-- minimum case fields -- redirect to Add Case page again",""
"passed","Fri Feb 24 16:08:28 GMT 2023","Fri Feb 24 16:08:38 GMT 2023","10308","Add Task","1.1 Org Admin","","","","A.T_1.3. Add task assigned to 1 User and 1 User Group and check email notification with more Task details",""
"passed","Fri Feb 24 16:19:34 GMT 2023","Fri Feb 24 16:19:57 GMT 2023","23060","","Edit Case","","","","3. Edit and verify reduced number of values on Case View page -- enter User Group instead of User as Case Officer",""
"passed","Fri Feb 24 16:06:35 GMT 2023","Fri Feb 24 16:06:41 GMT 2023","6613","Add Person","1. Org Admin","","","","1.4. redirect to Case View page",""
"passed","Fri Feb 24 16:04:05 GMT 2023","Fri Feb 24 16:04:23 GMT 2023","18373","Add Item","3 Add Item with Custom Form","","","","3.4 --- Duplicating item with Currency Form attached",""
"passed","Fri Feb 24 16:02:19 GMT 2023","Fri Feb 24 16:02:41 GMT 2023","21105","Add Item","1. Org Admin","","","","1.9. Only active people should show up in ""Recovered By"" field when searching by first/middle/last name or email",""
"passed","Fri Feb 24 16:19:57 GMT 2023","Fri Feb 24 16:20:09 GMT 2023","11565","","Edit Case","","","","4.  Case Number Formatting at Org level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format",""
"passed","Fri Feb 24 16:01:13 GMT 2023","Fri Feb 24 16:01:30 GMT 2023","17825","Add Item","1. Org Admin","","","","1.5. Add item from Scan page -- redirect to Item View/Media tab",""
"passed","Fri Feb 24 16:05:12 GMT 2023","Fri Feb 24 16:05:24 GMT 2023","12549","","Add Notes - Org1","","","","A.N_1. Add Note to Case",""
"passed","Fri Feb 24 16:03:06 GMT 2023","Fri Feb 24 16:03:38 GMT 2023","31370","Add Item","3 Add Item with Custom Form","","","","3.1 --- with required Custom Form filled out, all required fields on Form",""
"skipped","Fri Feb 24 16:16:31 GMT 2023","Fri Feb 24 16:16:31 GMT 2023","4","","Auto-Disposition","","","","3.2 Verify ""Close X Cases"" functionality",""
"passed","Fri Feb 24 16:05:42 GMT 2023","Fri Feb 24 16:05:51 GMT 2023","9737","","Add Notes - Org1","","","","A.N_4. Add Note to Task",""
"passed","Fri Feb 24 15:52:25 GMT 2023","Fri Feb 24 15:52:45 GMT 2023","20001","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.3 Org Admin-- minimum case fields -- redirect to Add Item page",""
"passed","Fri Feb 24 16:04:50 GMT 2023","Fri Feb 24 16:05:05 GMT 2023","15032","","Add Media","","","","A.M_1. Add Media to Case",""
"passed","Fri Feb 24 15:57:33 GMT 2023","Fri Feb 24 15:58:13 GMT 2023","40819","Add Case","7. --- with required Custom Form filled out, all required fields on Form","","","","7.1 verify all values are properly saved to the custom form -single user in custom User/User Group field",""
"passed","Fri Feb 24 16:20:09 GMT 2023","Fri Feb 24 16:20:24 GMT 2023","15308","","Edit Case","","","","5. Case Number Formatting at Office level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format",""
"passed","Fri Feb 24 15:53:02 GMT 2023","Fri Feb 24 15:53:20 GMT 2023","18629","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.5 Org Admin-- minimum case fields -- redirect to Media tab on Case View page",""
"failed","Fri Feb 24 16:08:49 GMT 2023","Fri Feb 24 16:09:26 GMT 2023","37069","Add User","1.1 Org Admin","","","","1.1.1. add user with all fields -- log in with newly created account",""
"passed","Fri Feb 24 15:55:25 GMT 2023","Fri Feb 24 15:55:53 GMT 2023","27982","Add Case","3. --- with Case Number formatting in Office ","","","","3.1 verify Office Case Number Format with default validation message",""
"passed","Fri Feb 24 16:16:19 GMT 2023","Fri Feb 24 16:16:31 GMT 2023","11427","","Auto-Disposition","","","","2. Verify validation message for Follow Up Days",""
"passed","Fri Feb 24 16:02:02 GMT 2023","Fri Feb 24 16:02:19 GMT 2023","17017","Add Item","1. Org Admin","","","","1.8. Add Item from Person View/ Items Custodian tab -- redirect to Split Item page and complete the action",""
