"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 23 22:31:51 GMT 2023","Thu Feb 23 22:32:09 GMT 2023","17847","","Edit Item","","","","4. Edit and verify reduced number of values on Item View page ",""
"passed","Thu Feb 23 22:20:24 GMT 2023","Thu Feb 23 22:20:41 GMT 2023","17392","","Auto-Disposition","","","","1 Verify auto-dispo can be enabled and disabled in Org Settings",""
"passed","Thu Feb 23 22:04:05 GMT 2023","Thu Feb 23 22:04:23 GMT 2023","17722","Add User","1.1 Org Admin","","","","1.1.3 validation message for missing permissions",""
"passed","Thu Feb 23 22:28:56 GMT 2023","Thu Feb 23 22:29:56 GMT 2023","60186","","Edit Item","","","","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To",""
"passed","Thu Feb 23 21:32:00 GMT 2023","Thu Feb 23 21:32:23 GMT 2023","23403","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.3 Org Admin-- minimum case fields -- redirect to Add Item page",""
"passed","Thu Feb 23 21:58:16 GMT 2023","Thu Feb 23 21:58:28 GMT 2023","11986","Add Task","1.1 Org Admin","","","","1.1.2. Add task assigned to 1 User and check email notification with more Task details",""
"passed","Thu Feb 23 21:47:50 GMT 2023","Thu Feb 23 21:48:48 GMT 2023","57382","Add Item","3 Add Item with Custom Form","","","","3.1 --- with required Custom Form filled out, all required fields on Form",""
"passed","Thu Feb 23 21:58:28 GMT 2023","Thu Feb 23 21:58:44 GMT 2023","15168","Add Task","1.1 Org Admin","","","","A.T_1.3. Add task assigned to 1 User Group and check email notification with less Task details",""
"passed","Thu Feb 23 21:53:04 GMT 2023","Thu Feb 23 21:53:17 GMT 2023","13052","","Add Media","","","","A.M_4. Add Media to Task",""
"skipped","Thu Feb 23 22:20:55 GMT 2023","Thu Feb 23 22:20:55 GMT 2023","3","","Auto-Disposition","","","","3.3 Verify ""Recalculate Cases to Dispose"" functionality",""
"passed","Thu Feb 23 22:26:45 GMT 2023","Thu Feb 23 22:27:01 GMT 2023","15760","","Edit Case","","","","6. Auto-Assigned Case Number -- Case Number can be edited when Auto-assigning of Case Numbers is enabled for new cases",""
"passed","Thu Feb 23 22:06:39 GMT 2023","Thu Feb 23 22:08:18 GMT 2023","99017","Add User","1.2 Power User -- all permissions in Office","","","","1.2.1. Office Admin can create a new user account",""
"passed","Thu Feb 23 21:53:41 GMT 2023","Thu Feb 23 21:53:56 GMT 2023","14513","","Add Notes - Org1","","","","A.N_1. Add Note to Case",""
"passed","Thu Feb 23 21:48:48 GMT 2023","Thu Feb 23 21:49:10 GMT 2023","21592","Add Item","3 Add Item with Custom Form","","","","3.2 --- with required Custom Form but not filled out, all optional fields on Form",""
"passed","Thu Feb 23 21:41:59 GMT 2023","Thu Feb 23 21:42:43 GMT 2023","44248","Add Item","1. Org Admin","","","","1.1 All fields enabled -- ""Item Belongs To Shows All People"" turned ON in Org Settings -- multiple people not linked to Primary Case are selected in ""Item Belongs to"" field ",""
"passed","Thu Feb 23 22:32:10 GMT 2023","Thu Feb 23 22:32:22 GMT 2023","12375","","Edit Item","","","","5. Add an Item with disabled non required / required fields & check if those are shown up on Item Edit page after enabling",""
"failed","Thu Feb 23 22:33:52 GMT 2023","Thu Feb 23 22:33:55 GMT 2023","3045","","Edit Person","","","","2. Edit and verify reduced number of values on Person View page - First & Last Name",""
"passed","Thu Feb 23 22:23:30 GMT 2023","Thu Feb 23 22:23:33 GMT 2023","3124","","Chain of Custody","","","","CoC_1. New Item Entry",""
