"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 23 12:09:13 GMT 2023","Thu Feb 23 12:09:53 GMT 2023","40462","Add Item","2 Power User -- all permissions in Office, with and without access to Storage Location","","","","2.1 verify that user can add all values but can select only Storage Location(s) that s/he has access to",""
"skipped","Thu Feb 23 12:40:45 GMT 2023","Thu Feb 23 12:40:45 GMT 2023","4","Auto-Disposition","3. Verify ""Re-Distribute Case Review Dates"" functionality","","","","A.D.4.2 Verify ""Re-Distribute"" for ""Upcoming"" cases",""
"passed","Thu Feb 23 12:17:18 GMT 2023","Thu Feb 23 12:17:38 GMT 2023","20421","Add Person","1. Org Admin","","","","1.2. Optional fields disabled -- First & Last Name populated -- redirect to Add Person page again",""
"passed","Thu Feb 23 12:18:35 GMT 2023","Thu Feb 23 12:19:16 GMT 2023","40759","Add Person","3. Add Person with Custom Form","","","","3.1. --- with required Custom Form filled out, all required fields on Form",""
"passed","Thu Feb 23 11:54:06 GMT 2023","Thu Feb 23 11:55:16 GMT 2023","69953","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.7 Power User can add case and view/enter/update Review Date/Notes when having AutoDispo permissions",""
"passed","Thu Feb 23 12:06:33 GMT 2023","Thu Feb 23 12:07:03 GMT 2023","30542","Add Item","1. Org Admin","","","","1.4. Add item from Item Search -- redirect to Case View /Items tab",""
"passed","Thu Feb 23 12:21:19 GMT 2023","Thu Feb 23 12:21:39 GMT 2023","19863","Add Task","1.1 Org Admin","","","","A.T_1.3. Add task assigned to 1 User and 1 User Group and check email notification with more Task details",""
"passed","Thu Feb 23 12:08:17 GMT 2023","Thu Feb 23 12:08:43 GMT 2023","25883","Add Item","1. Org Admin","","","","1.8. Add Item from Person View/ Items Custodian tab -- redirect to Split Item page and complete the action",""
"passed","Thu Feb 23 12:18:02 GMT 2023","Thu Feb 23 12:18:35 GMT 2023","33294","Add Person","2. Power User -- all permissions in Office","","","","2.1. verify that user can add all values",""
"passed","Thu Feb 23 11:53:46 GMT 2023","Thu Feb 23 11:54:06 GMT 2023","19782","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.6 Org Admin-- minimum case fields -- redirect to Notes tab on Case View page",""
